"YEAR","MONTH","DAY","WEEK","DATE","MKT_AIRLINE","MKT_FL_NUM","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN_IATA","ORIGIN_CITY","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST_IATA","DEST_CITY","SCH_DEP_TIME","ACT_DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","SCH_ARR_TIME","ACT_ARR_TIME","ARR_DELAY","CANCELLED","CANCELLATION_CODE","SCH_DURATION","ACT_DURATION","AIR_TIME","DISTANCE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY","TOTAL_ADD_GTIME","ORIGIN_TYPE","ORIGIN_ELEV","ORIGIN_TZ","DEST_TYPE","DEST_ELEV","DEST_TZ","SCH_DEP_TIME_UTC","ACT_DEP_TIME_UTC","SCH_ARR_TIME_UTC","ACT_ARR_TIME_UTC"
2024,5,1,"Wed","5/1/2024 12:00:00 AM","AA",1032,12478,1247805,31703,"JFK","New York, NY",13303,1330303,32467,"MIA","Miami, FL","0630","0625",-5,0,20,"0645","0915",5,"0944","0920",-24,0,NA,194,175,150,1089,NA,NA,NA,NA,NA,NA,"large_airport",13,"America/New_York","large_airport",8,"America/New_York",2024-05-01 10:30:00,2024-05-01 10:25:00,2024-05-01 13:44:00,2024-05-01 13:20:00
2024,5,1,"Wed","5/1/2024 12:00:00 AM","AA",1033,13930,1393008,30977,"ORD","Chicago, IL",10721,1072102,30721,"BOS","Boston, MA","1850","1844",-6,0,30,"1914","2203",8,"2216","2211",-5,0,NA,146,147,109,867,NA,NA,NA,NA,NA,NA,"large_airport",680,"America/Chicago","large_airport",20,"America/New_York",2024-05-01 23:50:00,2024-05-01 23:44:00,2024-05-02 02:16:00,2024-05-02 02:11:00
2024,5,1,"Wed","5/1/2024 12:00:00 AM","AA",1036,12953,1295304,31703,"LGA","New York, NY",11057,1105703,31057,"CLT","Charlotte, NC","0600","0551",-9,0,15,"0606","0731",6,"0805","0737",-28,0,NA,125,106,85,544,NA,NA,NA,NA,NA,NA,"large_airport",21,"America/New_York","large_airport",748,"America/New_York",2024-05-01 10:00:00,2024-05-01 09:51:00,2024-05-01 12:05:00,2024-05-01 11:37:00
2024,5,1,"Wed","5/1/2024 12:00:00 AM","AA",1038,11057,1105703,31057,"CLT","Charlotte, NC",13930,1393008,30977,"ORD","Chicago, IL","0908","0906",-2,0,17,"0923","0947",11,"1015","0958",-17,0,NA,127,112,84,599,NA,NA,NA,NA,NA,NA,"large_airport",748,"America/New_York","large_airport",680,"America/Chicago",2024-05-01 13:08:00,2024-05-01 13:06:00,2024-05-01 15:15:00,2024-05-01 14:58:00
2024,5,1,"Wed","5/1/2024 12:00:00 AM","AA",1039,11057,1105703,31057,"CLT","Charlotte, NC",13930,1393008,30977,"ORD","Chicago, IL","2246","2243",-3,0,21,"2304","2335",6,"2357","2341",-16,0,NA,131,118,91,599,NA,NA,NA,NA,NA,NA,"large_airport",748,"America/New_York","large_airport",680,"America/Chicago",2024-05-02 02:46:00,2024-05-02 02:43:00,2024-05-02 04:57:00,2024-05-02 04:41:00
2024,5,1,"Wed","5/1/2024 12:00:00 AM","AA",1040,10994,1099402,30994,"CHS","Charleston, SC",11278,1127805,30852,"DCA","Washington, DC","1927","1919",-8,0,24,"1943","2052",8,"2100","2100",0,0,NA,93,101,69,444,NA,NA,NA,NA,NA,NA,"medium_airport",46,"America/New_York","large_airport",15,"America/New_York",2024-05-01 23:27:00,2024-05-01 23:19:00,2024-05-02 01:00:00,2024-05-02 01:00:00
2024,5,1,"Wed","5/1/2024 12:00:00 AM","AA",1040,11278,1127805,30852,"DCA","Washington, DC",10994,1099402,30994,"CHS","Charleston, SC","1705","1659",-6,0,13,"1712","1823",5,"1847","1828",-19,0,NA,102,89,71,444,NA,NA,NA,NA,NA,NA,"large_airport",15,"America/New_York","medium_airport",46,"America/New_York",2024-05-01 21:05:00,2024-05-01 20:59:00,2024-05-01 22:47:00,2024-05-01 22:28:00
2024,5,1,"Wed","5/1/2024 12:00:00 AM","AA",1041,11057,1105703,31057,"CLT","Charlotte, NC",11278,1127805,30852,"DCA","Washington, DC","2051","2046",-5,0,38,"2124","2217",4,"2215","2221",6,0,NA,84,95,53,331,NA,NA,NA,NA,NA,NA,"large_airport",748,"America/New_York","large_airport",15,"America/New_York",2024-05-02 00:51:00,2024-05-02 00:46:00,2024-05-02 02:15:00,2024-05-02 02:21:00
2024,5,1,"Wed","5/1/2024 12:00:00 AM","AA",1042,11298,1129806,30194,"DFW","Dallas/Fort Worth, TX",13303,1330303,32467,"MIA","Miami, FL","0500","0528",28,28,13,"0541","0858",7,"0848","0905",17,0,NA,168,157,137,1121,17,0,0,0,0,NA,"large_airport",607,"America/Chicago","large_airport",8,"America/New_York",2024-05-01 10:00:00,2024-05-01 10:28:00,2024-05-01 12:48:00,2024-05-01 13:05:00
2024,5,1,"Wed","5/1/2024 12:00:00 AM","AA",1043,11057,1105703,31057,"CLT","Charlotte, NC",11042,1104205,30647,"CLE","Cleveland, OH","1837","1853",16,16,23,"1916","2021",8,"2013","2029",16,0,NA,96,96,65,430,16,0,0,0,0,NA,"large_airport",748,"America/New_York","large_airport",791,"America/New_York",2024-05-01 22:37:00,2024-05-01 22:53:00,2024-05-02 00:13:00,2024-05-02 00:29:00
